Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
2.328638497652582018e+00,1.425200000000000022e+00,1.420784039781131547e+00
2.326410386296692501e+00,1.310000000000000275e+00,1.289223020768593297e+00
2.324230098779779041e+00,1.188799999999999857e+00,1.171938897687283543e+00
2.322053894121832940e+00,1.097599999999999909e+00,1.066129299638401084e+00
2.319838359649779136e+00,1.014199999999999990e+00,9.695414234186681135e-01
2.317670367462898451e+00,9.193999999999999950e-01,8.852233718205647639e-01
2.315506423662981650e+00,8.401999999999999469e-01,8.102737424035679759e-01
2.313303359886573762e+00,7.600000000000000089e-01,7.424495234396291110e-01
2.311147559316347966e+00,6.977999999999998648e-01,6.833793660983510376e-01
2.308995773048060585e+00,6.329999999999998961e-01,6.306675727558658240e-01
2.306805074971165048e+00,5.834000000000001407e-01,5.824989780300969811e-01
2.304661363467400470e+00,5.315999999999999615e-01,5.399210845030127937e-01
2.302521632562112508e+00,4.747999999999999998e-01,5.012154482161443880e-01
2.300385871178391550e+00,4.388000000000000234e-01,4.657673264098304844e-01
2.298211472523399301e+00,4.138000000000000012e-01,4.324377594191995966e-01
2.296083695954078685e+00,3.976000000000000090e-01,4.021146185195667577e-01
2.293959855702525363e+00,3.656000000000000361e-01,3.737928093888248648e-01
2.291797582523195320e+00,3.303999999999999715e-01,3.467048610276539100e-01
2.289681660388507289e+00,3.039999999999999925e-01,3.217185002081042189e-01
2.287569641737077220e+00,2.959999999999999853e-01,2.981433578544660512e-01
2.285461515777057251e+00,2.859999999999999765e-01,2.758742898539119359e-01
2.283315226398070052e+00,2.436000000000000110e-01,2.544253386441799325e-01
2.281214930919660766e+00,2.275999999999999968e-01,2.345795110456801724e-01
2.279118495781792486e+00,1.971999999999999864e-01,2.158605936010780102e-01
2.277025910351285987e+00,1.621999999999999831e-01,1.982334194549116857e-01
2.274937164033977055e+00,1.227999999999999647e-01,1.816674781703005170e-01
2.272810586898346585e+00,1.093999999999999834e-01,1.658338682611932846e-01
2.270729563433929066e+00,9.779999999999998417e-02,1.513245230491591098e-01
2.268652347323356189e+00,9.739999999999997271e-02,1.377890885779377572e-01
2.266578928127513048e+00,9.540000000000001257e-02,1.251960955263165254e-01
2.264467941342975355e+00,8.120000000000000828e-02,1.132873345899784862e-01
2.262402160229159520e+00,8.679999999999998828e-02,1.024935511441903840e-01
2.260340144734683143e+00,8.339999999999998803e-02,9.253467939981890877e-02
2.258281884572656661e+00,1.021999999999999992e-01,8.337152988634377593e-02
2.256227369493622348e+00,1.184000000000000052e-01,7.496368979949244449e-02
2.254176589285389554e+00,1.181999999999999995e-01,6.726992780110141457e-02
2.252088630584816453e+00,1.035999999999999976e-01,6.011474816142826916e-02
2.250045363817818611e+00,9.319999999999999118e-02,5.373639252395243787e-02
2.248005801305293705e+00,9.819999999999998175e-02,4.794668228680101091e-02
2.245969932983155282e+00,8.319999999999998230e-02,4.270499864702531623e-02
2.243937748823742417e+00,7.799999999999999989e-02,3.797169308372790042e-02
2.241909238835653628e+00,9.160000000000000087e-02,3.370833316544615682e-02
2.239884393063583889e+00,8.780000000000000304e-02,2.987790642390471610e-02
2.237822814964537610e+00,7.220000000000000029e-02,2.638014519854116335e-02
2.235805340689854148e+00,6.079999999999999294e-02,2.331794958606902765e-02
2.233791500783628425e+00,6.600000000000000311e-02,2.058699468834777543e-02
2.231781285434027318e+00,6.219999999999999141e-02,1.815725069533435931e-02
2.229774684864505030e+00,6.459999999999997689e-02,1.600057229606890313e-02
2.227771689333644556e+00,4.119999999999998663e-02,1.409070158952996712e-02
2.225772289135000026e+00,2.939999999999999211e-02,1.240324916723727251e-02
2.223776474596940389e+00,2.079999999999999558e-02,1.091565667233234359e-02
2.221784236082492647e+00,-2.200000000000000133e-03,9.607143971852695821e-03
2.219755826859045378e+00,-1.160000000000000267e-02,8.437183620632724909e-03
