Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
2.252088630584816453e+00,1.035999999999999976e-01,6.012663317160101689e-02
2.250045363817818611e+00,9.319999999999999118e-02,5.374792418155498186e-02
2.248005801305293705e+00,9.819999999999998175e-02,4.795784207864301624e-02
2.245969932983155282e+00,8.319999999999998230e-02,4.271577444907959098e-02
2.243937748823742417e+00,7.799999999999999989e-02,3.798207842332336492e-02
2.241909238835653628e+00,9.160000000000000087e-02,3.371832650348367127e-02
2.239884393063583889e+00,8.780000000000000304e-02,2.988751046679627085e-02
2.237822814964537610e+00,7.220000000000000029e-02,2.638935867320525708e-02
2.235805340689854148e+00,6.079999999999999294e-02,2.332678956637097151e-02
2.233791500783628425e+00,6.600000000000000311e-02,2.059547292955432596e-02
2.231781285434027318e+00,6.219999999999999141e-02,1.816538085472534092e-02
2.229774684864505030e+00,6.459999999999997689e-02,1.600836947084254003e-02
2.227771689333644556e+00,4.119999999999998663e-02,1.409818190450623857e-02
2.225772289135000026e+00,2.939999999999999211e-02,1.241042941140758915e-02
2.223776474596940389e+00,2.079999999999999558e-02,1.092255398256819499e-02
2.221784236082492647e+00,-2.200000000000000133e-03,9.613775561500385869e-03
2.219755826859045378e+00,-1.160000000000000267e-02,8.443561749020030496e-03
2.217770782658463169e+00,-5.999999999999996655e-03,7.440098059812177804e-03
2.215789285586648116e+00,-1.219999999999999904e-02,6.563057941300129601e-03
2.213811326144397462e+00,-1.960000000000000284e-02,5.798063567764595756e-03
2.211836894866397785e+00,-9.599999999999993955e-03,5.132112655604751349e-03
2.209865982321072231e+00,-2.199999999999997530e-03,4.553486369816044793e-03
2.207898579110430415e+00,2.340000000000000413e-02,4.051657224354346908e-03
2.205934675869920980e+00,2.679999999999999744e-02,3.617198192910738453e-03
2.203974263268280609e+00,4.779999999999999527e-02,3.241694033824819073e-03
2.202017332007387473e+00,4.239999999999999325e-02,2.917655637080969477e-03
2.200063872822114242e+00,5.299999999999999156e-02,2.638438023597235171e-03
2.198113876480181528e+00,5.600000000000000117e-02,2.398162467812683680e-03
2.196167333782012676e+00,6.479999999999999649e-02,2.191643073881186388e-03
2.194224235560588987e+00,7.340000000000000691e-02,2.014318013172697926e-03
2.192284572681305388e+00,6.779999999999999916e-02,1.862185525531331485e-03
2.190348336041828770e+00,7.720000000000001861e-02,1.731744697861852412e-03
2.188415516571952768e+00,5.719999999999999390e-02,1.619940959953331504e-03
2.186486105233460098e+00,5.279999999999999277e-02,1.524116177726813574e-03
2.184560093019978222e+00,4.059999999999999720e-02,1.441963176964139838e-03
2.182637470956839909e+00,5.899999999999999689e-02,1.371484494677159115e-03
2.180718230100946009e+00,6.039999999999998842e-02,1.310955129249769023e-03
2.178802361540624233e+00,5.899999999999998995e-02,1.258889043021037702e-03
2.176889856395491929e+00,5.719999999999999390e-02,1.214009160826944695e-03
2.174980705816319304e+00,4.099999999999999478e-02,1.175220604012177338e-03
2.173074900984893532e+00,2.819999999999999937e-02,1.141586900488346205e-03
2.171172433113881528e+00,1.040000000000000299e-02,1.112308916573906186e-03
2.169273293446695394e+00,-2.886579864025406873e-18,1.086706264730539790e-03
2.167377473257358744e+00,1.900000000000000647e-02,1.064200952138678402e-03
2.165484963850372147e+00,1.039999999999999779e-02,1.044303047659596870e-03
2.163595756560580785e+00,-1.200000000000000719e-02,1.026598158536106862e-03
2.161747528808772412e+00,-1.999999999999998307e-03,1.011037679550192163e-03
2.159864834265210476e+00,-2.120000000000000356e-02,9.966962922185532148e-04
2.157985416195332462e+00,-2.560000000000000123e-02,9.836604524751265104e-04
2.156109266053450657e+00,-1.799999999999999864e-02,9.717216642689933698e-04
2.154236375323569597e+00,-1.100000000000000283e-02,9.607053344421352930e-04
2.152366735519258611e+00,-4.600000000000002524e-03,9.504655278143304921e-04
2.150500338183520821e+00,1.019999999999999553e-02,9.408804775895786201e-04
2.148637174888669232e+00,-4.600000000000002524e-03,9.318487526755968569e-04
2.146777237236197511e+00,9.999999999999972019e-04,9.232859944578351245e-04
2.144920516856653414e+00,1.559999999999999581e-02,9.151221456402729377e-04
2.143104044244728446e+00,1.640000000000000138e-02,9.074525499442373912e-04
2.141253669487134914e+00,4.039999999999999841e-02,8.999167429894867291e-04
2.139406487232573983e+00,3.979999999999999510e-02,8.926345012691954284e-04
2.137562489225995233e+00,4.119999999999999357e-02,8.855727597323897896e-04
2.135721667240785493e+00,4.759999999999999648e-02,8.787041899094253251e-04
2.133884013078644060e+00,4.159999999999999115e-02,8.720062099163613514e-04
